In-flight Analysis - Untitled at 35% Throttle
Sea Level, 29.92inHg, 68°F

Motor: SunnySky x2820 920; 920rpm/V; 1.1A no-load; 0.028 Ohms.
Battery: 6200mah 4S (60C); 4 cells; 6200mAh @ 3.7V; 0.005 Ohms/cell.
Speed Control: Castle Creations Phoenix 60; 0.0012 Ohms; High rate.
Drive System: 12x6; 12x7 (Pconst=1.16; Tconst=1) direct drive.
Airframe: Great Planes Spectra; 1sq.in; 11.9oz RTF; 1709.3oz/sq.ft; Cd=0.072; Cl=0.33; Clopt=0.32; Clmax=1.07.
Stats: 77 W/lb in; 65 W/lb out; 207mph stall; 379mph opt; 372mph level; -7094ft/min @ -12.3°; -7094ft/min @ -12.3°.

AirSpd   Drag   Lift  Batt Motor Motor  Input   Loss MGbOut MotGb Shaft   Prop Thrust  PSpd  Prop Total   Time
 (mph)   (oz)   (oz)  Amps  Amps Volts    (W)    (W)    (W) Ef(%) Ef(%)    RPM   (oz) (mph) Ef(%) Ef(%)  (m:s)

   0.0    0.0    0.0   4.1  11.6   4.9   57.2    9.0   48.2  84.3  80.3   4227   18.4  28.0   0.0   0.0  91:41
   1.0    0.0    0.0   4.1  11.6   4.9   57.2    9.0   48.2  84.3  80.3   4227   18.0  27.0   4.6   3.7  91:41
   2.0    0.0    0.0   4.1  11.6   4.9   57.2    9.0   48.2  84.3  80.3   4227   17.7  26.0   9.1   7.3  91:38
   3.0    0.0    0.0   4.1  11.6   4.9   57.3    9.0   48.3  84.3  80.3   4226   17.4  25.0  13.4  10.8  91:31
   4.0    0.0    0.0   4.1  11.6   4.9   57.4    9.0   48.4  84.3  80.3   4225   17.1  24.0  17.6  14.1  91:22
   5.0    0.0    0.0   4.1  11.6   4.9   57.5    9.0   48.4  84.3  80.3   4224   16.8  23.0  21.5  17.3  91:14
   6.0    0.0    0.0   4.1  11.7   4.9   57.5    9.0   48.5  84.3  80.3   4223   16.5  22.0  25.3  20.3  91:07
   7.0    0.0    0.0   4.1  11.7   4.9   57.6    9.0   48.5  84.3  80.3   4223   16.2  21.0  29.0  23.3  91:01
   8.0    0.0    0.0   4.1  11.7   4.9   57.6    9.0   48.6  84.3  80.3   4223   15.9  20.0  32.4  26.0  90:59
   9.0    0.0    0.0   4.1  11.7   4.9   57.5    9.0   48.5  84.3  80.3   4224   15.5  19.0  35.7  28.7  91:07
  10.0    0.0    0.0   4.1  11.6   4.9   57.2    9.0   48.2  84.3  80.3   4227   15.1  18.0  38.8  31.2  91:41
  11.0    0.0    0.0   4.0  11.5   4.9   56.7    8.9   47.8  84.3  80.3   4232   14.6  17.1  41.8  33.5  92:33
  12.0    0.0    0.0   4.0  11.3   4.9   55.9    8.8   47.1  84.2  80.3   4240   14.1  16.1  44.5  35.7  93:59
  13.0    0.0    0.0   3.9  11.1   4.9   54.8    8.7   46.1  84.2  80.3   4251   13.4  15.2  47.0  37.8  95:55
  14.0    0.0    0.0   3.8  10.8   5.0   53.5    8.5   45.0  84.1  80.4   4264   12.8  14.3  49.4  39.7  98:23
  15.0    0.0    0.0   3.7  10.5   5.0   51.9    8.3   43.6  84.0  80.4   4280   12.1  13.4  51.5  41.4 101:27
  16.0    0.0    0.0   3.5  10.1   5.0   50.1    8.1   42.0  83.8  80.4   4298   11.3  12.5  53.5  43.0 105:26
  17.0    0.0    0.0   3.4   9.6   5.0   47.7    7.8   39.9  83.6  80.3   4321   10.5  11.6  55.3  44.4 110:49
  18.0    0.0    0.0   3.2   9.0   5.0   45.0    7.6   37.4  83.2  80.1   4348    9.5  10.8  56.9  45.6 117:54
  19.0    0.0    0.0   2.9   8.4   5.0   41.8    7.3   34.5  82.6  79.8   4379    8.5  10.0  58.3  46.5 127:13
  20.0    0.0    0.0   2.7   7.6   5.0   38.2    7.0   31.2  81.8  79.2   4414    7.5   9.3  59.6  47.2 139:39
  21.0    0.0    0.0   2.4   6.8   5.0   34.2    6.7   27.5  80.5  78.3   4452    6.4   8.5  60.7  47.5 156:36
  22.0    0.0    0.0   2.1   5.9   5.1   29.8    6.4   23.4  78.6  76.7   4494    5.3   7.8  61.7  47.3 180:29
  23.0    0.0    0.0   1.7   4.9   5.1   25.0    6.1   18.8  75.5  73.9   4539    4.1   7.1  62.5  46.2 216:13
  24.0    0.0    0.0   1.4   3.9   5.1   19.7    5.9   13.8  70.0  68.9   4587    2.9   6.4  63.3  43.6 274:29
  25.0    0.0    0.1   1.0   2.8   5.1   14.1    5.8    8.4  59.2  58.5   4639    1.7   5.7  63.9  37.4 385:21
  26.0    0.0    0.1   0.6   1.6   5.1    8.1    5.7    2.4  30.1  29.9   4693    0.5   5.1  64.4  19.3 672:45

Note: Motor performance calculations take ambient temperature and heating effects into account.

Generated by MotoCalc 8.09, 4/17/2025 9:28 AM.
