In-flight Analysis - Untitled at 45% Throttle
Sea Level, 29.92inHg, 59°F

Motor: SunnySky x2820 920kV; 920rpm/V; 0.028A no-load; 0.028 Ohms.
Battery: Turnigy 9000mAH 3S; 3 cells; 9000mAh @ 3.7V; 0.004 Ohms/cell.
Speed Control: Castel Creations PHoenix 60; 0.0012 Ohms; High rate.
Drive System: 13x8; 13x9 (Pconst=1.31; Tconst=0.95) direct drive.
Airframe: Great Planes Spectra; 1sq.in; Cd=0.072; Cl=0.33; Clopt=0.32; Clmax=1.07.

AirSpd   Drag   Lift  Batt Motor Motor  Input   Loss MGbOut MotGb Shaft   Prop Thrust  PSpd  Prop Total   Time
 (mph)   (oz)   (oz)  Amps  Amps Volts    (W)    (W)    (W) Ef(%) Ef(%)    RPM   (oz) (mph) Ef(%) Ef(%)  (m:s)

   0.0    0.0    0.0   8.2  18.2   4.8   86.3    9.6   76.8  88.9  84.6   3895   24.7  33.2   0.0   0.0  66:05
   1.0    0.0    0.0   8.2  18.2   4.8   86.3    9.6   76.8  88.9  84.6   3895   24.3  32.2   3.9   3.3  66:05
   2.0    0.0    0.0   8.2  18.2   4.8   86.4    9.6   76.8  88.9  84.6   3895   23.9  31.2   7.7   6.5  66:03
   3.0    0.0    0.0   8.2  18.2   4.8   86.5    9.6   76.9  88.9  84.6   3894   23.6  30.2  11.4   9.7  65:57
   4.0    0.0    0.0   8.2  18.2   4.8   86.7    9.7   77.0  88.9  84.6   3892   23.3  29.2  15.0  12.7  65:50
   5.0    0.0    0.0   8.2  18.3   4.8   86.8    9.7   77.1  88.8  84.5   3891   22.9  28.2  18.4  15.6  65:41
   6.0    0.0    0.0   8.2  18.3   4.8   87.0    9.7   77.3  88.8  84.5   3889   22.6  27.1  21.8  18.4  65:33
   7.0    0.0    0.0   8.3  18.3   4.8   87.2    9.8   77.4  88.8  84.5   3888   22.3  26.1  25.0  21.1  65:25
   8.0    0.0    0.0   8.3  18.4   4.8   87.4    9.8   77.5  88.8  84.4   3886   22.0  25.1  28.1  23.7  65:17
   9.0    0.0    0.0   8.3  18.4   4.8   87.5    9.9   77.6  88.7  84.4   3885   21.6  24.1  31.1  26.2  65:11
